jHex, Kanji
9D96, 液
9DBB, 押
9DC4, 黄
9DD3, 音
9DD5, 仮
9E4D, 戒
9E56, 開
9E81, 革
9E84, 楽
9EAC, 冠
9ED8, 鑑
9EEE, 危
9EF7, 揮
9F4D, 記
9F8A, 牛
9F8D, 巨
9F97, 魚
9FB4, 興
9FB7, 鏡
9FD0, 筋
9FD8, 金
9FDA, 銀
9FED, 串
E051, 型
E053, 形
E073, 傑
E074, 欠
E075, 決
E077, 結
E082, 現
E083, 堅
E097, 険
E09C, 原
E09F, 減
E0A2, 現
E0AA, 古
E0D9, 公
E0E3, 好
E14E, 航
E155, 鉱
E15B, 香
E15D, 高
E160, 号
E16C, 黒
E18F, 砂
E198, 最
E1A9, 裁
E1AC, 剤
E1AD, 在
E1EF, 刺
E1F0, 司
E1FC, 指
E245, 止
E24B, 紫
E262, 持
E264, 次
E26A, 示
E281, 漆
E283, 実
E28C, 舎
E2A3, 主
E2A9, 種
E2B0, 寿
E2C0, 終
E2C3, 臭
E2C4, 舟
E2D1, 柔
E2DC, 縮
E340, 書
E34E, 勝
E375, 称
E381, 証
E39D, 飾
E3A4, 色
E3AE, 寝
E3B2, 新
E3BE, 親
E3C0, 身
E3CF, 図
E3D6, 水
E3F9, 性
E442, 正
E445, 盛
E44D, 醒
E44E, 青
E460, 赤
E464, 切
E46C, 雪
E490, 鮮
E4CF, 草
E4E9, 属
E540, 打
E547, 体
E54F, 替
E589, 探
E58E, 炭
E58F, 短
E5A6, 置
E5B3, 茶
E5E0, 調
E5E4, 長
E5E9, 直
E5F5, 通
E5FB, 漬
E64F, 停
E67B, 鉄
E680, 店
E688, 田
E6A4, 島
E6C5, 闘
E6D0, 銅
E6DA, 読
E6F7, 鍋
E748, 肉
E75A, 年
E773, 琶
E7A0, 漠
E7B4, 髪
E7BF, 半
E7C7, 版
E7F0, 避
E7F8, 琵
E849, 必
E859, 表
E867, 品
E87D, 斧
E89D, 物
E8A0, 噴
E8B3, 並
E8C1, 片
E8C9, 弁
E8E1, 宝
E948, 棒
E951, 防
E954, 僕
E968, 磨
E988, 味
E9A0, 命
E9A1, 明
E9AC, 面
E9BF, 戻
EA4A, 様
EA7A, 率
EA8E, 料
EA9B, 緑
EAC3, 練
EACB, 路
EAD6, 牢
EAD7, 篭
EAE3, 和
EAE4, 話
EB80, 丼
EB81, 隕
EB84, 橙
